url,discoveredFrom,status,finalUrl,title,notes
"http://127.0.0.1:3510/","code-seed",200,"http://127.0.0.1:3510/","Regulski | Terapia behawioralna",""
"http://127.0.0.1:3510/behawiorysta-online-polska","code-seed",200,"http://127.0.0.1:3510/behawiorysta-online-polska","Behawiorysta online dla psa i kota - cała Polska | Regulski",""
"http://127.0.0.1:3510/bezplatne-materialy/kot-kuweta-checklista","code-seed|crawl",200,"http://127.0.0.1:3510/bezplatne-materialy/kot-kuweta-checklista","Co sprawdzić, zanim uznasz, że kot załatwia się poza kuwetą złośliwie | Regulski",""
"http://127.0.0.1:3510/bezplatne-materialy/pies-reaktywnosc-5-krokow","code-seed|crawl",200,"http://127.0.0.1:3510/bezplatne-materialy/pies-reaktywnosc-5-krokow","5 pierwszych kroków, gdy pies szczeka na spacerach | Regulski",""
"http://127.0.0.1:3510/bezplatne-materialy/przygotowanie-do-konsultacji-online","code-seed|crawl",200,"http://127.0.0.1:3510/bezplatne-materialy/przygotowanie-do-konsultacji-online","Jak przygotować się do konsultacji behawioralnej online | Regulski",""
"http://127.0.0.1:3510/blog","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski",""
"http://127.0.0.1:3510/blog/agresja-przekierowana-u-kota","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","code-seed|crawl",200,"http://127.0.0.1:3510/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","Behawiorysta, zoopsycholog czy trener — do kogo się zgłosić? | Regulski",""
"http://127.0.0.1:3510/blog/czym-jest-coape-behawiorysta-po-tej-szkole","code-seed|crawl",200,"http://127.0.0.1:3510/blog/czym-jest-coape-behawiorysta-po-tej-szkole","Czym jest COAPE? Co oznacza behawiorysta po tej szkole | Regulski",""
"http://127.0.0.1:3510/blog/dlaczego-moj-pies-szczeka-na-inne-psy","code-seed|crawl",200,"http://127.0.0.1:3510/blog/dlaczego-moj-pies-szczeka-na-inne-psy","Dlaczego mój pies szczeka na inne psy? Co to naprawdę znaczy | Regulski",""
"http://127.0.0.1:3510/blog/ile-kosztuje-konsultacja-behawioralna","code-seed|crawl",200,"http://127.0.0.1:3510/blog/ile-kosztuje-konsultacja-behawioralna","Ile kosztuje konsultacja behawioralna? Co dostajesz w cenie | Regulski",""
"http://127.0.0.1:3510/blog/jak-nagrac-psa-zostawionego-samemu","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/jak-nauczyc-psa-zostawania-samemu","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/jak-przygotowac-sie-do-konsultacji-behawioralnej-online","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/jak-ustawic-kuwete-dla-kota","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/jak-wprowadzic-nowego-kota-do-domu","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
"http://127.0.0.1:3510/blog/jak-wybrac-kuwete-i-zwirek-dla-kota","code-seed",200,"http://127.0.0.1:3510/blog","Blog o zachowaniu psów i kotów | Regulski","redirected"
